PERMNO1,PERMNO2,p_value,alpha,beta,spread_sd
85763,14061,8.365776157024074e-07,0.4940411697947534,2.5261214685512767,0.012707630011867824
13210,90396,2.8448778184296497e-06,1.3784735089434452,0.9670582567072732,0.041583031227295654
85592,63467,5.423641431565212e-06,1.0993045815624576,0.4293179612001816,0.041860936732237404
13210,90601,7.4690664108008825e-06,1.5824095174078454,-1.936481437231384,0.038579287380583784
90319,15336,1.3194996279599944e-05,1.2993920719073624,1.124103223919648,0.03215196773435619
77037,89781,1.5153924844522094e-05,1.477172629436758,-2.610059493696482,0.05289939090231626
14542,15336,1.785668148896377e-05,1.297652635887307,1.1435794640288097,0.03264584042681217
92585,90396,1.934157963159674e-05,0.25521221373256336,3.6331350963766784,0.012270373272135576
57904,23026,2.016804622931033e-05,0.8859003951476621,0.7870813868143736,0.021903534624706466
79782,77129,2.0284994046725404e-05,1.1888508849810968,0.5449056502368419,0.021155477027294804
16523,90396,2.2693406507432514e-05,0.3962601493580124,3.069083719346131,0.013031015411991686
89781,27334,2.890404450529255e-05,0.6986377621184823,1.882778953479634,0.03161384093748459
47896,49015,2.9949318950404713e-05,0.5551951693347357,2.7363380204095824,0.016142617691873105
90319,13210,3.593784324850266e-05,0.6669708130398453,3.6535515029060233,0.0286028753937704
14704,12681,3.863682743866532e-05,1.022796258161786,0.9809160444690519,0.0229683417158555
13169,77857,4.3723092941397845e-05,1.748765193429234,-3.9708364695743423,0.05387327013667436
86979,14037,4.8135175838314354e-05,0.697574976778405,0.482046634297523,0.026432083729102
79547,20191,5.1814856235158204e-05,1.0765356343152188,0.1946959827639805,0.018613667206982185
45356,13922,5.8658984707637736e-05,2.3778343054821875,-5.518307884814183,0.03687289951802163
88873,91461,6.338823449038112e-05,1.2996263299333508,1.1461190342613854,0.04571721834180318
